StatSong: z2cave.it
0	1	0.000000	0	3	
1	2	0.000000	0	3	
2	3	0.000000	1	1	
2	4	0.000000	1	4	
1	5	396.000000	0	2	
2	6	396.000000	0	2	
0	7	857.000000	0	2	
1	8	857.000000	0	4	
2	9	857.000000	0	1	
2	10	857.000000	0	3	
1	11	1318.000000	0	1	
2	12	1318.000000	0	1	
1	13	1779.000000	1	3	
2	14	1779.000000	0	3	
1	15	2086.000000	1	2	
2	16	2086.000000	1	2	
1	17	2393.000000	0	3	
2	18	2393.000000	0	3	
2	19	2393.000000	0	4	
1	20	2854.000000	1	1	
2	21	2854.000000	1	1	
0	22	3315.000000	0	1	
1	23	3315.000000	1	4	
2	24	3315.000000	1	2	
2	25	3315.000000	1	4	
1	26	3776.000000	0	2	
2	27	3776.000000	0	2	
1	28	4236.000000	1	3	
2	29	4236.000000	1	3	
0	30	4851.000000	1	3	
1	31	4851.000000	0	3	
2	32	4851.000000	0	1	
2	33	4851.000000	0	4	
1	34	5312.000000	0	2	
2	35	5312.000000	0	2	
0	36	5772.000000	1	2	
1	37	5772.000000	0	4	
2	38	5772.000000	1	1	
2	39	5772.000000	1	3	
1	40	6233.000000	0	1	
2	41	6233.000000	0	1	
1	42	6694.000000	1	3	
2	43	6694.000000	1	3	
1	44	7001.000000	1	2	
2	45	7001.000000	1	2	
1	46	7308.000000	0	3	
2	47	7308.000000	1	3	
2	48	7308.000000	1	4	
1	49	7769.000000	1	1	
2	50	7769.000000	1	1	
0	51	8230.000000	1	1	
1	52	8230.000000	1	4	
2	53	8230.000000	1	2	
2	54	8230.000000	1	4	
1	55	8537.000000	0	2	
2	56	8537.000000	0	2	
1	57	8998.000000	1	3	
2	58	8998.000000	1	3	
1	59	9459.000000	1	2	
2	60	9459.000000	1	2	
0	61	9766.000000	0	3	
1	62	9766.000000	1	3	
2	63	9766.000000	1	3	
2	64	10073.000000	1	1	
2	65	10227.000000	1	2	
0	66	10688.000000	0	4	
1	67	10688.000000	0	4	
2	68	10688.000000	0	4	
0	69	10995.000000	1	1	
1	70	10995.000000	0	1	
2	71	10995.000000	0	1	
1	72	11456.000000	0	4	
