0,1,1,1,1	0,1,1,1,1	0,1,1,1,1	0,1,1,1,1	0,1,1,1,1	0,1,1,1,1	0,1,1,1,1	0,1,1,1,1	0,1,1,1,1	0,2,0,1,1	0,1,1,1,1	0,1,1,1,1	0,1,1,1,1	0,1,1,1,1	0,1,1,1,1	0,1,1,1,1	0,1,1,1,1	0,1,1,1,1	0,1,1,1,1	0,1,1,1,1	0,1,1,1,1	0,1,1,1,1	0,1,1,1,1	0,1,1,1,1	0,1,1,1,1	0,1,1,1,1	0,1,1,1,1	0,1,1,1,1	0,1,1,1,1	0,1,1,1,1	
0,1,1,1,1	0,1,1,1,1	0,1,1,1,1	0,1,1,1,1	0,1,1,1,1	0,1,1,1,1	0,1,1,1,1	0,1,1,1,1	0,1,1,1,1	0,0,1,1,0	124,1,1,0,1	0,1,1,1,1	0,1,1,1,1	0,1,1,1,1	0,1,1,1,1	0,1,1,1,1	0,1,1,1,1	0,1,1,1,1	0,1,1,1,1	0,1,1,1,1	0,1,1,1,1	0,1,1,1,1	0,1,1,1,1	0,1,1,1,1	0,1,1,1,1	0,1,1,1,1	0,1,1,1,1	0,1,1,1,1	0,1,1,1,1	0,1,1,1,1	
0,1,1,1,1	0,1,1,1,1	0,1,0,1,0	0,1,0,0,0	0,1,0,0,0	0,1,0,0,0	0,1,0,0,0	0,1,0,0,0	0,1,0,0,0	0,1,0,0,0	0,1,0,0,0	0,1,0,0,0	0,1,0,0,0	0,1,0,0,0	0,1,0,0,0	0,1,0,0,1	0,1,1,1,1	0,1,1,1,1	0,1,1,1,1	0,1,1,1,1	0,1,1,1,1	0,1,1,1,1	0,1,1,1,1	0,1,1,1,1	0,1,1,1,1	0,1,1,1,1	0,1,1,1,1	0,1,1,1,1	0,1,1,1,1	0,1,1,1,1	
0,1,1,1,1	0,1,1,1,1	0,0,0,1,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,1	0,1,1,1,1	0,1,1,1,1	0,1,0,1,0	0,1,1,0,0	0,1,1,0,1	0,1,1,1,1	0,1,0,1,1	0,1,1,1,1	0,1,0,1,3	0,1,1,3,3	0,1,1,3,0	0,1,0,0,0	0,1,1,0,1	0,1,1,1,1	
0,1,1,1,1	0,1,1,1,1	0,0,0,1,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,1,0,0	0,0,1,0,0	0,0,1,0,0	0,0,1,0,0	0,0,1,0,0	0,0,1,0,1	0,1,1,1,1	0,1,1,1,1	0,0,0,1,1	0,1,1,1,1	0,1,1,1,1	0,1,1,1,1	0,0,0,1,1	0,1,0,1,1	0,0,0,1,1	0,1,1,1,1	0,1,1,1,1	0,0,0,1,1	0,1,1,1,1	0,1,1,1,1	
0,1,1,1,1	0,1,1,1,1	0,1,1,1,0	0,1,1,0,0	0,1,1,0,0	0,1,1,0,0	0,1,1,0,0	0,1,1,0,0	0,1,1,0,0	0,1,1,0,0	0,1,1,0,0	0,1,1,0,0	0,1,1,0,0	0,1,1,0,0	0,1,1,0,0	0,1,1,0,1	0,1,1,1,1	0,1,1,1,1	0,0,1,1,0	0,1,1,0,0	0,1,0,0,3	0,1,1,3,3	0,0,0,3,1	0,0,0,1,1	0,0,0,1,1	0,1,1,1,1	0,1,1,1,1	0,0,0,1,1	0,1,1,1,1	0,1,1,1,1	
0,1,1,1,1	0,1,1,1,1	0,1,0,1,0	0,1,0,0,0	0,1,0,0,0	0,1,0,0,0	0,1,0,0,0	0,1,0,0,0	0,1,0,0,0	0,1,0,0,0	0,1,0,0,0	0,1,0,0,0	0,1,0,0,0	0,1,0,0,0	0,1,0,0,0	0,1,0,0,1	0,1,1,1,1	0,1,1,1,1	0,1,1,1,1	0,1,1,1,1	0,0,0,1,1	0,1,1,1,1	0,0,0,1,1	0,0,0,1,1	0,0,0,1,1	0,1,1,1,1	0,1,1,1,1	0,0,0,1,1	0,1,1,1,1	0,1,1,1,1	
0,1,1,1,1	0,1,1,1,1	0,0,0,1,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,1	0,1,1,1,1	0,1,1,1,1	0,1,1,1,0	0,1,1,0,0	0,0,1,0,1	0,1,1,1,1	0,0,2,1,0	0,0,1,0,0	0,0,1,0,1	0,1,1,1,1	0,1,1,1,1	20,0,1,1,1	0,1,1,1,1	0,1,1,1,1	
0,1,1,1,1	0,1,1,1,1	0,0,1,1,0	0,0,1,0,0	0,0,1,0,0	0,0,1,0,0	0,0,1,0,0	0,0,1,0,0	0,0,1,0,0	0,0,1,0,0	0,0,1,0,0	0,0,1,0,0	0,0,1,0,0	0,0,1,0,0	0,0,1,0,0	0,0,1,0,1	0,1,1,1,1	0,1,1,1,1	0,1,1,1,1	0,1,1,1,1	0,1,1,1,1	0,1,1,1,1	0,2,0,1,1	0,1,1,1,1	0,1,1,1,1	0,1,1,1,1	0,1,1,1,1	0,1,1,1,1	0,1,1,1,1	0,1,1,1,1	
0,1,1,1,1	0,1,1,1,1	0,1,1,1,1	0,1,1,1,1	0,1,1,1,1	0,1,1,1,1	0,1,1,1,1	0,1,1,1,1	0,1,1,1,1	0,1,1,1,1	0,1,1,1,1	0,1,1,1,1	0,1,1,1,1	0,1,1,1,1	0,1,1,1,1	0,1,1,1,1	0,1,1,1,1	0,1,1,1,1	0,1,1,1,1	0,1,1,1,1	0,1,1,1,1	0,1,1,1,1	0,0,0,1,1	0,1,1,1,1	0,1,1,1,1	0,1,1,1,1	0,1,1,1,1	0,1,1,1,1	0,1,1,1,1	0,1,1,1,1	
