0,1,0,1,0	0,1,0,0,2	0,1,0,2,0	0,1,0,0,1	0,1,0,1,2	7,1,1,2,1	0,1,0,1,0	0,1,1,0,0	0,1,1,0,0	260,1,1,0,0	252,1,1,0,0	260,1,0,0,1	0,1,1,1,1	0,1,1,1,1	0,1,1,1,1	0,1,0,1,0	0,1,0,0,0	0,1,0,0,0	0,1,0,0,0	0,1,0,0,0	0,1,0,0,0	0,1,0,0,0	0,1,0,0,0	0,1,0,0,0	0,1,0,0,0	251,1,0,0,0	0,1,0,0,0	251,1,0,0,0	0,1,0,0,0	0,1,0,0,1	
0,0,2,1,0	0,0,1,0,1	0,0,1,1,0	0,0,1,0,2	0,0,1,2,0	0,1,1,0,1	0,0,0,1,1	0,1,1,1,1	0,1,1,1,1	0,1,1,1,1	0,1,1,1,1	0,0,0,1,1	0,1,1,1,1	0,1,1,1,1	0,1,1,1,1	0,0,0,1,0	251,0,0,0,0	0,0,0,0,0	251,0,0,0,0	251,0,0,0,0	0,0,0,0,0	251,0,0,0,0	0,0,0,0,0	251,0,0,0,0	251,0,0,0,0	251,0,0,0,0	0,0,1,0,0	0,0,0,0,0	251,0,0,0,0	0,0,0,0,1	
0,2,2,1,0	0,1,1,0,0	0,1,1,0,0	0,1,1,0,0	0,1,1,0,0	0,1,1,0,0	0,0,0,0,1	0,1,1,1,1	4,1,1,1,0	0,1,1,0,0	0,1,1,0,0	0,0,1,0,1	0,1,1,1,1	255,1,2,1,1	0,1,1,1,1	251,0,0,1,0	0,0,0,0,0	0,0,1,0,0	251,0,0,0,0	251,0,0,0,0	0,0,1,0,0	0,0,0,0,0	251,0,0,0,0	0,0,0,0,0	0,0,1,0,0	0,0,0,0,1	250,1,1,1,1	0,0,0,1,0	0,0,0,0,0	0,0,0,0,1	
0,2,0,1,0	0,1,0,0,1	0,1,0,1,0	0,1,0,0,1	276,1,1,1,0	0,1,0,0,1	0,0,0,1,1	0,1,1,1,1	0,1,1,1,1	0,1,1,1,1	0,1,1,1,1	0,1,0,1,0	0,1,0,0,1	0,2,0,1,0	0,1,0,0,1	0,0,0,1,0	0,0,0,0,1	250,1,1,1,1	0,0,0,1,0	0,0,0,0,1	250,1,1,1,1	0,0,0,1,0	0,0,0,0,0	0,0,0,0,1	250,1,1,1,1	0,0,0,1,0	0,1,0,0,0	0,0,0,0,0	251,0,0,0,0	0,0,0,0,1	
0,0,1,1,0	0,0,1,0,2	0,0,1,2,0	0,0,1,0,2	253,1,1,2,1	0,0,0,1,1	0,0,0,1,0	0,1,1,0,0	0,1,1,0,0	0,1,1,0,0	264,1,1,0,103	264,0,0,103,0	0,0,0,0,2	2,0,0,2,0	0,0,0,0,1	251,0,0,1,0	0,0,0,0,0	0,1,0,0,0	251,0,0,0,0	251,0,0,0,0	0,1,0,0,0	0,0,0,0,0	251,0,0,0,0	0,0,0,0,0	0,1,0,0,0	251,0,0,0,0	251,0,0,0,0	251,0,0,0,0	0,0,0,0,0	0,0,0,0,1	
0,1,0,1,0	0,1,1,0,0	0,1,1,0,0	0,1,1,0,0	0,1,0,0,1	0,0,0,1,1	0,0,0,1,1	0,1,1,1,1	0,1,1,1,1	0,1,1,1,1	0,1,1,1,1	0,0,1,1,0	0,0,1,0,1	0,0,1,1,0	0,0,1,0,1	0,0,0,1,0	251,0,0,0,0	0,0,0,0,0	251,0,0,0,0	251,0,0,0,0	0,0,0,0,0	251,0,0,0,0	0,0,0,0,0	251,0,0,0,0	0,0,0,0,0	251,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,1	
0,0,0,1,1	2,1,1,1,0	0,1,1,0,0	0,1,1,0,0	0,0,1,0,1	0,0,0,1,1	0,0,0,1,1	0,1,1,1,1	0,1,0,1,0	0,1,0,0,0	0,1,0,0,0	0,1,0,0,1	0,1,1,1,1	0,1,1,1,1	0,1,1,1,1	251,0,0,1,0	0,0,0,0,0	0,0,1,0,0	0,0,0,0,0	251,0,0,0,0	251,0,0,0,0	0,0,0,0,0	251,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,1	
0,0,1,1,0	0,1,1,0,0	263,1,102,0,0	0,1,1,0,0	0,1,1,0,0	0,0,1,0,1	0,0,0,1,1	0,1,1,1,1	0,0,0,1,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,1	0,1,2,1,0	0,1,1,0,0	0,1,0,0,1	0,0,0,1,0	0,0,0,0,1	250,1,1,1,1	0,0,0,1,0	251,0,0,0,0	0,0,0,0,0	0,0,1,0,0	0,0,0,0,0	251,0,0,0,0	0,0,0,0,0	251,0,0,0,0	251,0,0,0,0	0,0,0,0,0	251,0,0,0,0	0,0,0,0,1	
0,1,1,1,1	0,1,1,1,1	263,102,1,1,0	0,1,1,0,0	0,1,1,0,0	0,1,1,0,2	0,0,0,2,1	0,1,1,1,1	0,0,0,1,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,1	2,2,0,1,1	0,1,1,1,1	0,0,0,1,1	251,0,0,1,0	0,0,0,0,0	0,1,0,0,0	0,0,0,0,0	251,0,0,0,0	0,0,0,0,1	250,1,1,1,1	251,0,0,1,0	0,0,0,0,0	0,0,1,0,0	251,0,0,0,0	251,0,0,0,0	0,0,1,0,0	0,0,0,0,0	251,0,0,0,1	
0,1,1,1,1	0,1,1,1,1	0,1,1,1,1	0,1,1,1,1	0,1,1,1,1	0,1,1,1,1	0,0,0,1,1	0,1,1,1,1	0,0,1,1,0	0,0,1,0,0	0,0,1,0,0	2,0,2,0,1	0,0,0,1,1	0,1,1,1,1	0,0,0,1,1	0,0,0,1,0	251,0,0,0,0	0,0,0,0,0	251,0,0,0,0	251,0,0,0,0	0,0,0,0,0	0,1,0,0,0	0,0,0,0,0	251,0,0,0,1	250,1,1,1,1	0,0,0,1,0	0,0,0,0,1	250,1,1,1,1	0,0,0,1,0	0,0,0,0,1	
