StatSong: MountainMix.xm								
0	1	0	0	1				0
1	2	0	0	1				0
2	3	0	0	2				0
2	4	140.859	1	3				141
1	5	381.618	0	3				382
2	6	381.618	0	4				382
1	7	622.377	0	4				623
2	8	622.377	1	3				623
0	9	863.136	0	3				864
1	10	863.136	0	2				864
2	11	863.136	0	1				864
2	12	1100.898	1	2				1102
2	13	1338.66	0	1				1340
0	14	1814.184	0	2				1816
1	15	1814.184	0	3				1816
2	16	1814.184	0	3				1816
2	17	2051.946	1	4				2054
2	18	2289.708	0	3				2292
0	19	2760.237	0	4				2763
1	20	2760.237	0	2				2763
2	21	2760.237	1	1				2763
2	22	2996.001	1	2				2999
2	23	3230.766	0	1				3234
0	24	3701.295	1	1				3705
1	25	3701.295	1	1				3705
2	26	3701.295	0	2				3705
2	27	3935.061	1	3				3939
1	28	4167.828	1	3				4172
2	29	4167.828	0	4				4172
1	30	4399.596	1	4				4404
2	31	4399.596	1	3				4404
0	32	4632.363	1	3				4637
1	33	4632.363	1	2				4637
2	34	4632.363	0	1				4637
2	35	4865.13	1	2				4870
1	36	5096.898	1	3				5102
2	37	5096.898	1	1				5102
2	38	5329.665	1	2				5335
0	39	5559.435	1	2				5565
1	40	5559.435	1	2				5565
2	41	5559.435	1	4				5565
2	42	5789.205	1	3				5795
2	43	6018.975	0	2				6025
2	44	6249.744	1	1				6256
0	45	6479.514	1	4				6486
1	46	6479.514	1	3				6486
2	47	6479.514	0	3				6486
2	48	6479.514	0	4				6486
0	49	7390.602	0	3				7398
1	50	7390.602	0	1				7398
2	51	7390.602	0	2				7398
2	52	7617.375	0	3				7625
1	53	7842.15	0	2				7850
2	54	7842.15	0	4				7850
2	55	8066.925	0	3				8075
0	56	8291.7	0	4				8300
1	57	8291.7	0	3				8300
1	58	8291.7	0	4				8300
2	59	8291.7	0	1				8300
2	60	8514.477	0	2				8523
1	61	8736.255	0	1				8745
1	62	8736.255	0	2				8745
2	63	8736.255	0	3				8745
2	64	8736.255	0	4				8745
0	65	9180.81	0	1				9190
0	66	9180.81	0	2				9190
1	67	9180.81	0	3				9190
1	68	9180.81	0	4				9190
2	69	9180.81	0	1				9190
2	70	9180.81	0	2				9190
2	71	9626.364	0	3				9636
2	72	9626.364	0	4				9636
1	73	10065.924	0	2				10076
2	74	10065.924	0	1				10076
2	75	10065.924	0	2				10076
0	76	10946.043	1	1				10957
1	77	10946.043	1	3				10957
2	78	10946.043	1	2				10957
2	79	11164.824	1	3				11176
1	80	11382.606	1	4				11394
2	81	11382.606	1	4				11394
2	82	11600.388	1	3				11612
0	83	11818.17	1	2				11830
1	84	11818.17	1	1				11830
1	85	11818.17	1	2				11830
2	86	11818.17	1	1				11830
2	87	12034.953	1	2				12047
1	88	12252.735	1	3				12265
1	89	12252.735	1	4				12265
2	90	12252.735	1	3				12265
